pert_id	inchikey	block1
BRD-K41868777	FVJRBJIENDRNBE-UHFFFAOYSA-N	FVJRBJIENDRNBE
BRD-K41871066	XQVZVPLVZQHPJK-KWBCDCJNSA-N	XQVZVPLVZQHPJK
BRD-K41878610	BSKZHQCAOYVBFU-DFZDUAMZSA-N	BSKZHQCAOYVBFU
BRD-K41880142	IZYFSJYDPLTURU-NJNPRVFISA-N	IZYFSJYDPLTURU
BRD-K41885374	FEEKZGTVSGSFLP-ZPNKKQCCSA-N	FEEKZGTVSGSFLP
BRD-K41887163	LOSHTFMJKXKCOQ-SEPYTNNBSA-N	LOSHTFMJKXKCOQ
BRD-K41887956	OMYFJRIZLUBDFJ-QGMBQPNBSA-N	OMYFJRIZLUBDFJ
BRD-K41888384	OWLQYYZEQLHDAT-HARLFGEKSA-N	OWLQYYZEQLHDAT
BRD-K41889859	YZTWEKNKNNRJIX-SQRAXXTESA-N	YZTWEKNKNNRJIX
BRD-K41895714	SQWZFLMPDUSYGV-UXBLZVDNSA-N	SQWZFLMPDUSYGV
BRD-K41899231	UFBMXAGIJLNIBJ-KMDXXIMOSA-N	UFBMXAGIJLNIBJ
BRD-K41903098	HYPPXZBJBPSRLK-UHFFFAOYSA-N	HYPPXZBJBPSRLK
BRD-K41908462	FAPZFILXRWTTCI-RUZDIDTESA-N	FAPZFILXRWTTCI
BRD-K41908552	FKOSOIDZXAWLFY-NRFANRHFSA-N	FKOSOIDZXAWLFY
BRD-K41915268	KKWAEGUSNQIREC-XXBFSGCESA-N	KKWAEGUSNQIREC
BRD-K41916320	VMUIUYUBOUUZSN-HOIFWPIMSA-N	VMUIUYUBOUUZSN
BRD-K41918892	CTESJDQKVOEUOY-UHFFFAOYSA-N	CTESJDQKVOEUOY
BRD-K41924482	DCNGPDPUCQUBES-UHFFFAOYSA-N	DCNGPDPUCQUBES
BRD-K41925105	UKEFKMJMFRIXER-YPLGXPHSSA-N	UKEFKMJMFRIXER
BRD-K41927787	NMMAJMJUDCVZMW-HSALFYBXSA-N	NMMAJMJUDCVZMW
BRD-K41931739	JQKHDUWQEWCERO-BUUPBASBSA-N	JQKHDUWQEWCERO
BRD-K41944296	HTGRXZBGTMWDTQ-CJYOKPGZSA-N	HTGRXZBGTMWDTQ
BRD-K41952303	ALCDIEWMKTXBKO-VCBZYWHSSA-N	ALCDIEWMKTXBKO
