lincs_cell_id	mark	source_used	genome_build	notes
TYKNU	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
TYKNU	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
U266	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 104515
U266	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
U266	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
U937	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 79496,79497
U937	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
U937	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
VCAP	ATAC-seq	epimap	hg19	EpiMap imputed track, biosample ID: BSS01888 [perturb=null confirmed]
VCAP	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR597ULV
VCAP	H3K27me3	cistrome	hg19	Cistrome sample ID(s): 2922,2923,2924
WSUDLCL2	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
WSUDLCL2	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
WSUDLCL2	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 40317
YAPC	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
YAPC	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
YAPC	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
