pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA	7	IKBKB,NFKB2,NFKBIA,NFKBIB,POLR1C,POLR2K,TICAM1
R-HSA-1839117	Signaling by cytosolic FGFR1 fusion mutants	5	PIK3CA,STAT1,STAT3,STAT5B,ZMYM2
R-HSA-1839124	FGFR1 mutant receptor activation	5	PIK3CA,STAT1,STAT3,STAT5B,ZMYM2
R-HSA-1852241	Organelle biogenesis and maintenance	19	ALAS1,CCP110,CDK1,CEP57,CREB1,CSNK1E,CYCS,GABPB1,HDAC6,MEF2C,PAFAH1B1,PCM1,PLK1,POLG2,PRKACA,PRKAG2,SIRT3,TCTN1,TUBB6
R-HSA-1855170	IPs transport between nucleus and cytosol	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-1855196	IP3 and IP4 transport between cytosol and nucleus	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-1855229	IP6 and IP7 transport between cytosol and nucleus	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-186763	Downstream signal transduction	13	CRK,CRKL,GRB7,NCK1,NCK2,NRAS,PDGFA,PIK3CA,RASA1,SRC,STAT1,STAT3,STAT5B
R-HSA-186797	Signaling by PDGF	16	COL4A1,CRK,CRKL,GRB7,NCK1,NCK2,NRAS,PDGFA,PIK3CA,PTPN12,RASA1,SPP1,SRC,STAT1,STAT3,STAT5B
R-HSA-187037	Signaling by NTRK1 (TRKA)	31	ATF1,CDK5R1,CLTC,CREB1,CRK,CRKL,DNM1,DUSP3,DUSP4,DUSP6,EGR1,FOS,FOSL1,FRS2,ID2,MAP2K5,MAPK13,MAPKAPK2,MAPKAPK3,MEF2C,NRAS,PIK3CA,RALA,RALB,RALGDS,RHOA,RPS6KA1,SHC1,SRC,STAT3,TRIB1
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	10	CCNA1,CCNA2,CCND1,CCNE2,CDK2,CDK4,CDKN1A,CDKN1B,PSMD2,SKP1
R-HSA-187687	Signalling to ERKs	12	CRK,CRKL,FRS2,MAPK13,MAPKAPK2,MAPKAPK3,NRAS,RALA,RALB,RALGDS,SHC1,SRC
R-HSA-190236	Signaling by FGFR	11	FGFR2,FGFR4,FRS2,MKNK1,NRAS,PIK3CA,POLR2I,POLR2K,SHC1,SPRED2,SRC
R-HSA-1912408	Pre-NOTCH Transcription and Translation	6	CCND1,JUN,MAMLD1,NOTCH1,TFDP1,TP53
R-HSA-1912422	Pre-NOTCH Expression and Processing	7	CCND1,JUN,MAMLD1,NOTCH1,RFNG,TFDP1,TP53
R-HSA-191273	Cholesterol biosynthesis	7	ACAT2,EBP,FDFT1,HMGCR,HMGCS1,LBR,NSDHL
R-HSA-191859	snRNP Assembly	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-193648	NRAGE signals death through JNK	6	ARHGEF12,ARHGEF2,BAD,NET1,TIAM1,VAV3
R-HSA-193704	p75 NTR receptor-mediated signalling	13	ARHGEF12,ARHGEF2,BAD,CASP2,CASP3,HDAC2,IKBKB,NET1,NFKBIA,RHOA,SQSTM1,TIAM1,VAV3
R-HSA-194138	Signaling by VEGF	27	AKT1,CDC42,CRK,CTNND1,FYN,HSPB1,MAPK13,MAPKAPK2,MAPKAPK3,NCK1,NCK2,NOS3,NRAS,PAK1,PIK3CA,PRKACA,PRKCD,PTK2,PTK2B,PXN,RASA1,RHOA,SHB,SRC,TRIB3,VAV3,WASF3
R-HSA-194315	Signaling by Rho GTPases	65	ABL1,ARHGAP1,ARHGEF12,ARHGEF2,AURKB,BIRC5,BTK,BUB1B,CCP110,CDC20,CDC42,CDKN1B,CENPE,CHN1,CLTC,CSK,CTTN,DSG2,EVL,FRS2,GFOD1,GRB7,IQGAP1,KIF14,KIF2C,KTN1,LBR,MYL9,MYLK,NCK1,NCK2,NET1,NISCH,NUP133,NUP85,PAFAH1B1,PAK1,PAK4,PAK6,PIK3C3,PIK3CA,PIK3R3,PIK3R4,PIN1,PLK1,PPP2R5A,PPP2R5E,PRKCD,PTK2,PTK2B,RAC2,RHOA,SFN,SPEN,SPTAN1,SRC,STK10,TIAM1,TUBB6,VAPB,VAV3,WASF3,WIPF2,YKT6,ZW10
R-HSA-194441	Metabolism of non-coding RNA	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-195253	Degradation of beta-catenin by the destruction complex	8	AXIN1,CSNK1A1,MYC,PPP2R5A,PPP2R5E,PSMD2,SKP1,TLE1
R-HSA-195258	RHO GTPase Effectors	38	ABL1,AURKB,BIRC5,BTK,BUB1B,CDC20,CDC42,CDKN1B,CENPE,CTTN,EVL,IQGAP1,KIF14,KIF2C,KTN1,MYL9,MYLK,NCK1,NUP133,NUP85,PAFAH1B1,PAK1,PIK3C3,PIK3R4,PIN1,PLK1,PPP2R5A,PPP2R5E,PRKCD,PTK2,RAC2,RHOA,SFN,SRC,TUBB6,WASF3,WIPF2,ZW10
R-HSA-195721	Signaling by WNT	24	AKT1,AXIN1,CLTB,CLTC,CSNK1A1,CSNK1E,CSNK2A2,FZD1,FZD7,GNB5,MYC,PLCB3,PPP2R5A,PPP2R5E,PSMD2,RAC2,RHOA,RUVBL1,SKP1,SMARCA4,SOX2,SOX4,TERT,TLE1
R-HSA-1963642	PI3K events in ERBB2 signaling	5	EGF,EGFR,ERBB2,ERBB3,PIK3CA
R-HSA-196849	Metabolism of water-soluble vitamins and cofactors	6	CD320,COASY,FPGS,MTHFD2,PCCB,SLC5A6
R-HSA-196854	Metabolism of vitamins and cofactors	12	AKT1,APOE,CD320,COASY,FPGS,GPC1,LRP10,MTHFD2,NOS3,PCCB,SLC5A6,SPR
R-HSA-1980143	Signaling by NOTCH1	10	ADAM10,HDAC2,HDAC6,HES1,HIF1A,MAMLD1,MYC,NOTCH1,SKP1,TLE1
R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	14	ATF1,CDK5R1,CREB1,DUSP3,DUSP4,DUSP6,EGR1,FOS,FOSL1,ID2,MAPKAPK2,MEF2C,RPS6KA1,TRIB1
R-HSA-198753	ERK/MAPK targets	5	DUSP3,DUSP4,DUSP6,MEF2C,RPS6KA1
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	5	CD40,COL1A1,ICAM1,ICAM3,NPDC1
R-HSA-1989781	PPARA activates gene expression	14	ALAS1,ARNT2,CDK19,FDFT1,FHL2,HMGCR,HMGCS1,NCOA3,NR1H2,PEX11A,PPARG,TNFRSF21,TRIB3,TXNRD1
R-HSA-199418	Negative regulation of the PI3K/AKT network	20	AKT1,EGF,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FRS2,FYN,IER3,KIT,PDGFA,PIK3CA,PIK3R3,PIP4K2B,PPP2R5A,PPP2R5E,RAC2,SRC,TRIB3
R-HSA-199977	ER to Golgi Anterograde Transport	11	COG2,COG4,COG7,COPB2,KDELR2,SPTAN1,TMED10,TRAPPC3,TRAPPC6A,TUBB6,YKT6
R-HSA-199991	Membrane Trafficking	55	ACBD3,ADRB2,AKT1,APP,ARFIP2,C2CD5,CENPE,CHMP4A,CHMP6,CLTB,CLTC,COG2,COG4,COG7,COPB2,COPS7A,CTTN,CYTH1,DENND2D,DNM1,EGF,EGFR,EPN2,FCHO1,HSPA8,IGF2R,KDELR2,KIF20A,KIF2C,KIF5C,PACSIN3,PAFAH1B1,PAFAH1B3,PLA2G4A,PRKAG2,RAB21,RAB27A,RAB31,RAB4A,RALA,SFN,SPTAN1,SRC,STX4,TJP1,TMED10,TOR1A,TRAPPC3,TRAPPC6A,TUBB6,UBQLN2,USP6NL,VPS28,YKT6,ZW10
R-HSA-199992	trans-Golgi Network Vesicle Budding	7	ACBD3,APP,CLTB,CLTC,HSPA8,IGF2R,STX4
R-HSA-201556	Signaling by ALK	10	DNMT1,FRS2,HDAC2,HIF1A,MYC,PIK3CA,PTPN6,SHC1,SRC,STAT3
R-HSA-201681	TCF dependent signaling in response to WNT	16	AKT1,AXIN1,CSNK1A1,CSNK1E,CSNK2A2,FZD1,MYC,PPP2R5A,PPP2R5E,PSMD2,RUVBL1,SMARCA4,SOX2,SOX4,TERT,TLE1
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	5	MYC,RUVBL1,SMARCA4,TERT,TLE1
R-HSA-202131	Metabolism of nitric oxide: NOS3 activation and regulation	6	AKT1,LYPLA1,NMT1,NOS3,NOSIP,SPR
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	5	COL1A1,COL4A1,CTSL,LAMA3,LOXL1
R-HSA-202403	TCR signaling	13	CSK,EVL,HLA-DRA,IKBKB,MALT1,NCK1,NFKBIA,PAK1,PIK3CA,PRKCQ,PSMD2,PTPRC,SKP1
R-HSA-202424	Downstream TCR signaling	8	HLA-DRA,IKBKB,MALT1,NFKBIA,PIK3CA,PRKCQ,PSMD2,SKP1
R-HSA-202733	Cell surface interactions at the vascular wall	16	ATP1B1,CD44,CD58,COL1A1,FYN,GPC1,GRB7,LYN,MIF,MMP1,NRAS,PIK3CA,PROS1,PTPN6,SHC1,SRC
R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	17	ABL1,BTK,CDC42,CRK,FYN,LYN,MYO10,NCK1,PAK1,PIK3CA,PRKCD,PTK2,SRC,SYK,VAV3,WASF3,WIPF2
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	12	ABL1,BTK,CDC42,CRK,MYO10,NCK1,PAK1,PTK2,SYK,VAV3,WASF3,WIPF2
R-HSA-203615	eNOS activation	5	AKT1,LYPLA1,NMT1,NOS3,SPR
R-HSA-204998	Cell death signalling via NRAGE, NRIF and NADE	9	ARHGEF12,ARHGEF2,BAD,CASP2,CASP3,NET1,SQSTM1,TIAM1,VAV3
R-HSA-211859	Biological oxidations	11	ADH5,AKR7A2,ARNT2,BPHL,CBR3,CHAC1,CNDP2,GSTM2,GSTZ1,MAT2A,UGDH
R-HSA-212165	Epigenetic regulation of gene expression	29	ABL1,AKAP8L,ARID4B,BCL7B,CCNH,CDK7,CEBPA,DNMT1,DNMT3A,EED,EZH2,HDAC2,MNAT1,MTA1,MTF2,NCOA3,PEX11A,POLR1C,POLR2K,PPARG,PSIP1,RB1,RRP8,SMARCA4,SMARCC1,SMARCD2,SUV39H1,SUZ12,TBP
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	9	HDAC2,HDAC6,HES1,HIF1A,MAMLD1,MYC,NOTCH1,SKP1,TLE1
R-HSA-212300	PRC2 methylates histones and DNA	6	DNMT1,DNMT3A,EED,EZH2,MTF2,SUZ12
R-HSA-2132295	MHC class II antigen presentation	12	CENPE,CLTC,CTSD,CTSL,DNM1,HLA-DMA,HLA-DRA,KIF20A,KIF2C,KIF5C,LGMN,TUBB6
R-HSA-2151201	Transcriptional activation of mitochondrial biogenesis	7	ALAS1,CREB1,CYCS,GABPB1,MEF2C,POLG2,SIRT3
R-HSA-216083	Integrin cell surface interactions	8	CD44,COL1A1,COL4A1,ICAM1,ICAM3,ITGAE,ITGB5,SPP1
R-HSA-2172127	DAP12 interactions	7	BTK,FYN,NRAS,PIK3CA,SHC1,SYK,VAV3
R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	5	APOE,COL1A1,COL4A1,HYOU1,SCARB1
R-HSA-2173789	TGF-beta receptor signaling activates SMADs	6	BAMBI,ITGB5,SMAD3,STUB1,TGFB3,TGFBR2
R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	6	MYC,PARP1,SERPINE1,SMAD3,STAT1,TFDP1
R-HSA-2187338	Visual phototransduction	6	APOE,GNB5,GPC1,LRP10,NMT1,PRKCQ
R-HSA-2219528	PI3K/AKT Signaling in Cancer	21	AKT1,BAD,CDKN1A,CDKN1B,CREB1,EGF,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FOXO3,FOXO4,FRS2,FYN,KIT,PDGFA,PIK3CA,PIK3R3,RAC2,SRC
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	14	EGF,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FRS2,FYN,KIT,PDGFA,PIK3CA,PIK3R3,RAC2,SRC
R-HSA-2299718	Condensation of Prophase Chromosomes	5	CCNB1,CDK1,PLK1,RB1,SMC4
R-HSA-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	10	FGFR2,FGFR4,FRS2,IGF1R,NRAS,PIK3C3,PIK3CA,PIK3R4,SHC1,TRIB3
R-HSA-2424491	DAP12 signaling	7	BTK,FYN,NRAS,PIK3CA,SHC1,SYK,VAV3
R-HSA-2428924	IGF1R signaling cascade	10	FGFR2,FGFR4,FRS2,IGF1R,NRAS,PIK3C3,PIK3CA,PIK3R4,SHC1,TRIB3
R-HSA-2428928	IRS-related events triggered by IGF1R	9	FGFR2,FGFR4,FRS2,IGF1R,NRAS,PIK3C3,PIK3CA,PIK3R4,TRIB3
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	19	BTK,FOS,FYN,IKBKB,JUN,LYN,MALT1,MAPK9,NFATC3,NFKBIA,NRAS,PAK1,PIK3CA,PRKCQ,PSMD2,SHC1,SKP1,SYK,VAV3
R-HSA-2467813	Separation of Sister Chromatids	19	AURKB,BIRC5,BUB1B,CDC20,CENPE,KIF2C,NUP133,NUP85,PAFAH1B1,PDS5A,PLK1,PPP2R5A,PPP2R5E,PSMD2,SMC1A,SMC3,TUBB6,UBE2C,ZW10
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	20	AURKB,BIRC5,BUB1B,CCNB1,CCNB2,CDC20,CDK1,CENPE,KIF2C,NUP133,NUP85,PAFAH1B1,PDS5A,PLK1,PPP2R5A,PPP2R5E,SMC1A,SMC3,TUBB6,ZW10
R-HSA-2514853	Condensation of Prometaphase Chromosomes	6	CCNB1,CCNB2,CDK1,CSNK2A2,NCAPD2,SMC4
R-HSA-2555396	Mitotic Metaphase and Anaphase	27	AURKB,BIRC5,BUB1B,CCNB1,CCNB2,CDC20,CDK1,CENPE,CHMP4A,CHMP6,KIF2C,LBR,NUP133,NUP62,NUP85,NUP93,PAFAH1B1,PDS5A,PLK1,PPP2R5A,PPP2R5E,PSMD2,SMC1A,SMC3,TUBB6,UBE2C,ZW10
R-HSA-2559580	Oxidative Stress Induced Senescence	16	CDK4,CDK6,CDKN2A,E2F2,EED,EZH2,FOS,JUN,MAP4K4,MAPK9,MAPKAPK2,MAPKAPK3,MAPKAPK5,SUZ12,TFDP1,TP53
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	13	CCNA1,CCNA2,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,FOS,JUN,RPS6KA1,STAT3,UBE2C
R-HSA-2559583	Cellular Senescence	30	ACD,CCNA1,CCNA2,CCNE2,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,E2F2,EED,ETS1,EZH2,FOS,HMGA2,JUN,MAP4K4,MAPK9,MAPKAPK2,MAPKAPK3,MAPKAPK5,RB1,RPS6KA1,STAT3,SUZ12,TERF2IP,TFDP1,TP53,UBE2C
R-HSA-2559585	Oncogene Induced Senescence	8	CDK4,CDK6,CDKN2A,E2F2,ETS1,RB1,TFDP1,TP53
R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	11	ACD,CCNA1,CCNA2,CCNE2,CDK2,CDKN1A,CDKN1B,HMGA2,RB1,TERF2IP,TP53
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	12	AURKA,CCNB1,CCNB2,CCP110,CDK1,CEP57,CSNK1E,PAFAH1B1,PCM1,PLK1,PRKACA,SKP1
R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	8	ADAM10,HDAC2,HDAC6,HES1,MAMLD1,MYC,NOTCH1,SKP1
R-HSA-2644603	Signaling by NOTCH1 in Cancer	8	ADAM10,HDAC2,HDAC6,HES1,MAMLD1,MYC,NOTCH1,SKP1
R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	8	ADAM10,HDAC2,HDAC6,HES1,MAMLD1,MYC,NOTCH1,SKP1
R-HSA-2682334	EPH-Ephrin signaling	19	ADAM10,CDC42,CLTB,CLTC,DNM1,EPHA3,EPHB2,FYN,LYN,MMP2,MYL9,NCK2,PAK1,PTK2,RASA1,RHOA,SRC,TIAM1,VAV3
R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	5	FYN,LYN,PIK3CA,SHC1,SYK
R-HSA-2871796	FCERI mediated MAPK activation	9	FOS,JUN,LYN,MAPK9,NRAS,PAK1,SHC1,SYK,VAV3
R-HSA-2871809	FCERI mediated Ca+2 mobilization	6	BTK,LYN,NFATC3,SHC1,SYK,VAV3
R-HSA-2871837	FCERI mediated NF-kB activation	7	IKBKB,LYN,MALT1,NFKBIA,PRKCQ,PSMD2,SKP1
R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	8	ADAM10,HDAC2,HDAC6,HES1,MAMLD1,MYC,NOTCH1,SKP1
R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	8	ADAM10,HDAC2,HDAC6,HES1,MAMLD1,MYC,NOTCH1,SKP1
R-HSA-2980766	Nuclear Envelope Breakdown	10	CCNB1,CCNB2,CDK1,NUP133,NUP62,NUP85,NUP88,NUP93,PLK1,RAE1
R-HSA-2990846	SUMOylation	35	AURKA,AURKB,BIRC5,BRCA1,CDKN2A,DAXX,DNMT1,DNMT3A,HDAC2,IKBKE,MTA1,NFKB2,NFKBIA,NR1H2,NR3C1,NRIP1,NUP133,NUP62,NUP85,NUP88,NUP93,PARP1,PCNA,PPARG,RAE1,RPA1,SATB1,SMC1A,SMC3,SUZ12,TFAP2A,TOP2A,TP53,TP53BP1,ZNF131
R-HSA-2995410	Nuclear Envelope (NE) Reassembly	11	CCNB1,CCNB2,CDK1,CHMP4A,CHMP6,LBR,NUP133,NUP62,NUP85,NUP93,TUBB6
R-HSA-3000171	Non-integrin membrane-ECM interactions	9	CASK,COL1A1,COL4A1,DAG1,DDR1,ITGB5,LAMA3,PDGFA,SGCB
R-HSA-3000178	ECM proteoglycans	8	APP,COL1A1,COL4A1,DAG1,ITGB5,LAMA3,SERPINE1,TGFB3
R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	12	BRCA1,CDKN2A,NUP133,NUP62,NUP85,NUP88,NUP93,PARP1,RAE1,RPA1,SMC1A,SMC3
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	35	AURKA,AURKB,BIRC5,BRCA1,CDKN2A,DAXX,DNMT1,DNMT3A,HDAC2,IKBKE,MTA1,NFKB2,NFKBIA,NR1H2,NR3C1,NRIP1,NUP133,NUP62,NUP85,NUP88,NUP93,PARP1,PCNA,PPARG,RAE1,RPA1,SATB1,SMC1A,SMC3,SUZ12,TFAP2A,TOP2A,TP53,TP53BP1,ZNF131
R-HSA-3214841	PKMTs methylate histone lysines	5	EED,EZH2,NFKB2,SUV39H1,SUZ12
R-HSA-3214842	HDMs demethylate histones	5	ARID5B,JMJD6,KDM3A,KDM5A,KDM5B
R-HSA-3214847	HATs acetylate histones	7	HAT1,JADE2,KAT6A,KAT6B,RUVBL1,USP22,VPS72
R-HSA-3214858	RMTs methylate histone arginines	6	CCND1,CDK4,DNMT3A,SMARCA4,SMARCC1,SMARCD2
R-HSA-3232118	SUMOylation of transcription factors	5	CDKN2A,MTA1,TFAP2A,TP53,TP53BP1
R-HSA-3232142	SUMOylation of ubiquitinylation proteins	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-3247509	Chromatin modifying enzymes	27	ARID4B,ARID5B,CCND1,CDK4,DNMT3A,EED,EZH2,HAT1,HDAC2,HMG20B,JADE2,JMJD6,KAT6A,KAT6B,KDM3A,KDM5A,KDM5B,MTA1,NFKB2,RUVBL1,SMARCA4,SMARCC1,SMARCD2,SUV39H1,SUZ12,USP22,VPS72
R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	9	CCNB1,CCNB2,CDK1,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	19	BAG3,DNAJB1,DNAJB6,FKBP4,HSPA1A,HSPA4,HSPA8,HSPB1,MAPKAPK2,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,RPA1,RPA2,RPA3,TNFRSF21
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	6	DNAJB1,FKBP4,HSPA1A,HSPA8,NR3C1,TUBB6
R-HSA-3371511	HSF1 activation	10	DNAJB1,DNAJB6,FKBP4,HDAC6,HSPA1A,HSPB1,RPA1,RPA2,RPA3,TNFRSF21
R-HSA-3371556	Cellular response to heat stress	20	BAG3,DNAJB1,DNAJB6,FKBP4,HDAC6,HSPA1A,HSPA4,HSPA8,HSPB1,MAPKAPK2,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,RPA1,RPA2,RPA3,TNFRSF21
R-HSA-3371568	Attenuation phase	7	DNAJB1,DNAJB6,FKBP4,HSPA1A,HSPA8,HSPB1,TNFRSF21
R-HSA-3371571	HSF1-dependent transactivation	7	DNAJB1,DNAJB6,FKBP4,HSPA1A,HSPA8,HSPB1,TNFRSF21
R-HSA-354192	Integrin signaling	8	AKT1,CRK,CSK,PTK2,PTPN1,SHC1,SRC,SYK
R-HSA-3700989	Transcriptional Regulation by TP53	64	AKT1,AURKA,AURKB,BAX,BID,BIRC5,BNIP3L,BRCA1,CASP10,CASP2,CCNA1,CCNA2,CCNB1,CCNE2,CCNH,CDK1,CDK2,CDK5R1,CDK7,CDKN1A,CDKN1B,CDKN2A,CHEK1,CHEK2,CNOT4,CSNK2A2,CYCS,DAXX,DDB2,DDIT4,FAS,FOS,GADD45A,HDAC2,IGFBP3,JUN,KAT6A,MAPKAPK5,MNAT1,PCNA,PIN1,PIP4K2B,PMAIP1,POLR2I,POLR2K,PPP1R13B,PRKAG2,RAD9A,RFC2,RFC5,RHEB,RPA1,RPA2,RPA3,RRAGA,SESN1,SFN,TBP,TFDP1,TOPBP1,TP53,TP53BP2,TXNRD1,USP7
R-HSA-372790	Signaling by GPCR	47	ABHD6,ADGRE5,ADRB2,AKT1,APP,ARHGEF12,ARHGEF2,BTK,C5,CCL2,CDC42,CREB1,CXCL2,CXCR4,EDN1,EGFR,FZD1,FZD7,GNA11,GNA15,GNAI1,GNAI2,GNAS,GNB5,GPER1,HEBP1,LPAR2,NET1,NRAS,PAK1,PIK3CA,PIK3R3,PLA2G4A,PLCB3,PRKACA,PRKCD,PRKCH,PRKCQ,PRKX,RGS2,RHOA,RPS6KA1,SHC1,SRC,TBXA2R,TIAM1,VAV3
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	11	ADRB2,APP,C5,CCL2,CXCL2,CXCR4,EDN1,GPER1,HEBP1,LPAR2,TBXA2R
R-HSA-373080	Class B/2 (Secretin family receptors)	5	ADGRE5,FZD1,FZD7,GNAS,GNB5
R-HSA-373752	Netrin-1 signaling	7	CDC42,FYN,MYO10,NCK1,PRKCQ,PTK2,SRC
R-HSA-373753	Nephrin family interactions	7	CASK,FYN,IQGAP1,NCK1,NCK2,PIK3CA,SPTAN1
R-HSA-373755	Semaphorin interactions	8	ARHGEF12,CDK5R1,ERBB2,FYN,MYL9,PAK1,PTPRC,RHOA
R-HSA-373760	L1CAM interactions	11	CLTC,CSNK2A2,DNM1,EGFR,EPHB2,HSPA8,PAK1,RPS6KA1,SPTAN1,SRC,TUBB6
R-HSA-375165	NCAM signaling for neurite out-growth	7	COL4A1,CREB1,FYN,NRAS,PTK2,SPTAN1,SRC
R-HSA-375276	Peptide ligand-binding receptors	8	APP,C5,CCL2,CXCL2,CXCR4,EDN1,GPER1,HEBP1
R-HSA-376176	Signaling by ROBO receptors	21	ABL1,CASC3,CDC42,CXCR4,DAG1,EIF4G1,EVL,GPC1,NCK1,NCK2,PAK1,PAK4,PAK6,PRKACA,PSMD2,RHOA,RNPS1,RPL39L,RPS5,RPS6,SRC
R-HSA-3781865	Diseases of glycosylation	11	B4GAT1,DAG1,DHDDS,EXT1,GALE,GFPT1,GPC1,MUC1,NOTCH1,PGM1,PMM2
R-HSA-380259	Loss of Nlp from mitotic centrosomes	8	CCP110,CDK1,CEP57,CSNK1E,PAFAH1B1,PCM1,PLK1,PRKACA
R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	8	CCP110,CDK1,CEP57,CSNK1E,PAFAH1B1,PCM1,PLK1,PRKACA
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	8	CCP110,CDK1,CEP57,CSNK1E,PAFAH1B1,PCM1,PLK1,PRKACA
R-HSA-380287	Centrosome maturation	8	CCP110,CDK1,CEP57,CSNK1E,PAFAH1B1,PCM1,PLK1,PRKACA
R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	9	CCP110,CDK1,CEP57,CSNK1E,PAFAH1B1,PCM1,PLK1,PRKACA,TUBB6
