source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0007265	Ras Protein Signal Transduction	20	ADGRG1,ARHGAP1,CCNA2,CDK2,CDKN1A,CDKN2A,CRKL,CTNNAL1,G3BP1,GARRE1,HACD3,MAPKAPK5,NRAS,RALA,RALB,RALGDS,RB1,RHOA,TIAM1,TP53
GO:BP	GO:0007268	Chemical Synaptic Transmission	9	APOE,PAFAH1B1,RPS6KA1,SLC1A4,SNAP25,SNCA,STXBP1,STXBP2,SYPL1
GO:BP	GO:0007346	Regulation Of Mitotic Cell Cycle	16	APP,AURKA,CCNB1,CDC20,CDC25B,CDKN1B,DUSP3,DYNLT3,EIF4EBP1,GMNN,IQGAP1,LGMN,PIN1,PLK1,RB1,USP22
GO:BP	GO:0007399	Nervous System Development	20	APP,ARNT2,CHAC1,CHERP,CXCR4,EGFR,EPHB2,ERBB2,ERBB3,EVL,FEZ2,HES1,IGF2BP2,MBNL1,MEF2C,PAFAH1B3,PAX8,SOX4,STAT3,TRAK2
GO:BP	GO:0007409	Axonogenesis	14	APP,CDK5R1,DAG1,EPHA3,EPHB2,FEZ2,FGFR2,FYN,GLI2,KIF5C,MYCBP2,NOTCH1,PRKCQ,PTK2
GO:BP	GO:0007411	Axon Guidance	13	CDK5R1,CHN1,DAG1,EPHA3,EPHB2,FEZ2,FYN,GLI2,KIF5C,MYCBP2,NOTCH1,PRKCQ,PTK2
GO:BP	GO:0007417	Central Nervous System Development	16	ABCB6,ADGRG1,APP,ARNT2,CDK5R1,COL4A1,CXCR4,DDIT4,LSR,PAFAH1B3,PAX8,PHGDH,SOX4,STAT3,TGFBR2,UFM1
GO:BP	GO:0007420	Brain Development	12	ABCB6,ADGRG1,ARNT2,CDK5R1,COL4A1,CXCR4,DDIT4,PAFAH1B1,PAFAH1B3,PHGDH,TGFBR2,UFM1
GO:BP	GO:0007498	Mesoderm Development	3	BTK,IKZF1,MEST
GO:BP	GO:0007507	Heart Development	14	BMP4,CDKN1A,CDKN1B,ERBB3,GLI2,ID2,MEF2C,NOTCH1,OXSR1,PDLIM1,PTK2,SOX4,TBX2,TGFBR2
GO:BP	GO:0007600	Sensory Perception	3	CCL2,GNAS,NIPSNAP1
GO:BP	GO:0008104	Protein Localization	29	ACD,ARFIP2,ARHGEF2,ARL4C,CLTC,COG7,COPB2,CTTN,DDX42,DNAJC15,EGFR,HDAC6,HOOK2,PTPRK,RAB21,RAB31,RRAGA,SNX13,SNX6,SQSTM1,STX1A,STX4,STXBP1,STXBP2,TIMM17B,TM9SF2,TM9SF3,TMED10,TP53
GO:BP	GO:0008203	Cholesterol Metabolic Process	10	ACLY,APOE,FDFT1,HMGCR,HMGCS1,INSIG1,LBR,NSDHL,PPARD,TSKU
GO:BP	GO:0008284	Positive Regulation Of Cell Population Proliferation	67	ADAM10,AKT1,BAD,BAMBI,BCL2,BCL7B,BIRC5,BMP4,CAPN1,CCNA2,CDC25B,CDK2,CDK4,CDK6,CDKN1A,CRKL,EAPP,EDN1,EGF,EGFR,ERBB2,ERBB3,EZH2,FGFR2,FGFR4,FOSL1,GNAI2,GPER1,GRN,HDAC2,HES1,HMGA2,HMOX1,ID2,IGF1R,IL1B,ITGB1BP1,KIF14,LGMN,LYN,MEF2C,MYC,NOTCH1,OXSR1,PAK1,PDGFA,PRKCH,PTK2,PTK2B,PTPN6,PTPRC,RPS6,S100A13,SHC1,SMARCA4,SMARCC1,SOX4,STAMBP,STAT1,STX4,TBX2,TERT,TGFB3,TGFBR2,TIAM1,TJP1,XBP1
GO:BP	GO:0008285	Negative Regulation Of Cell Population Proliferation	47	ADGRG1,APOE,APP,ATF5,BMP4,CDK6,CDKN1A,CDKN1B,CDKN2A,CEBPA,CGRRF1,CHERP,DNAJA3,DNAJB2,ETS1,FOXO4,GATA2,GATA3,GET1,GPER1,HES1,HMOX1,HSPA1A,IGFBP3,IL1B,ITGB1BP1,LYN,MYC,NCK2,NOS3,NOTCH1,NUP62,PAK1,PPARG,PTK2B,PTPN6,PTPRK,SMAD3,SOX2,SOX4,TES,TFAP2A,TFDP1,TGFB3,TP53,TRIB1,VGLL4
GO:BP	GO:0008593	Regulation Of Notch Signaling Pathway	10	AKT1,CHAC1,EPN2,GATA2,ITGB1BP1,NOS3,RFNG,SRC,STAT3,ZMIZ1
GO:BP	GO:0008630	Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage	11	BAX,BCL2,BRCA1,CASP2,CHEK2,DDIT4,IKBKE,MSH6,SFN,TMEM109,TP53
GO:BP	GO:0008637	Apoptotic Mitochondrial Changes	10	ATG3,BAD,BAX,BCL2,BID,BNIP3,DNM1L,FIS1,HSPD1,SFN
GO:BP	GO:0009057	Macromolecule Catabolic Process	11	BECN1,CASP3,CASP7,CHEK2,DFFB,EXOSC4,IDE,LGMN,PIK3R4,SQSTM1,SUPV3L1
GO:BP	GO:0009059	Macromolecule Biosynthetic Process	12	ABCF1,ALAS1,APOE,B4GAT1,EIF4G1,EXT1,MRPL12,MRPS16,RPS5,RPS6,TERT,TNIP1
GO:BP	GO:0009101	Glycoprotein Biosynthetic Process	10	B4GAT1,CANT1,COG7,FAM20B,FUT1,NPC1,PMM2,ST3GAL5,ST6GALNAC2,TNIP1
GO:BP	GO:0009267	Cellular Response To Starvation	16	BECN1,CDKN1A,FAS,FOXO3,HSPA8,NPRL2,PIK3C3,PIK3R4,PMAIP1,RALB,RRAGA,RRP8,SESN1,SUV39H1,TP53,XBP1
GO:BP	GO:0009411	Response To UV	19	AURKB,CAT,CCND1,CDC25A,CIRBP,DDB2,EGFR,MAP3K4,MAPK13,MSH6,MYC,PARP1,PCNA,PRKCD,PTPRK,TENT4A,TP53,UBE2A,USP1
GO:BP	GO:0009893	Positive Regulation Of Metabolic Process	12	ADRB2,CXCR4,DECR1,ELOVL6,GNAS,GRB10,IGF1R,IL4R,KDM3A,MUC1,SMARCA4,SYK
GO:BP	GO:0009966	Regulation Of Signal Transduction	20	APP,CRK,CSK,ERBB3,FGFR2,FYN,GATA3,IGFBP3,ILK,ITGB1BP1,NCK1,NCK2,NUP62,PLSCR1,PTPN1,PXN,RFNG,RGS2,SOCS2,SRC
GO:BP	GO:0009967	Positive Regulation Of Signal Transduction	24	BAX,CDH3,CTSL,EPN2,FAS,FGFR2,GATA3,GPER1,GRB10,HIF1A,IL1B,ILK,ITGB1BP1,MACF1,NOS3,PIH1D1,PTK2B,PTPRC,SMARCA4,SRC,STAT3,TERT,XBP1,ZMIZ1
