pert_id	pert_iname	n_sigs	canonical_smiles
BRD-A10969569	ambelline	15	CO[C@@H]1CC2N3CC(O)C2(C=C1)c4cc5OCOc5c(OC)c4C3
BRD-A10977446	carvedilol	88	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
BRD-A11007541	BCI-hydrochloride	25	O=C1c2ccccc2C(NC2CCCCC2)\C1=C\c1ccccc1
BRD-A11009626	BRD-A11009626	5	CN1CCc2cc(Br)c(O)cc2C(C1)c1ccc(cc1)N(CCCl)CCCl
BRD-A11087911	BRD-A11087911	13	CC(Nc1ncnc2ccc(cc12)c3c(C)noc3C)c4ccco4
BRD-A11095214	BRD-A11095214	13	O=C(N(C(=O)c1ccccc1)c2ncnc3Oc4ccc5ccccc5c4C(c6ccccc6)c23)c7ccccc7
BRD-A11132253	nadide	4	NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
BRD-A11135865	nor-binaltorphimine	15	Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c8CC9(O)C%10Cc%11ccc(O)c%12OC(c8[nH]c67)C9(CCN%10CC%13CC%13)c%12%11
BRD-A11170096	pravastatin	17	CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12
BRD-A11263757	azacitidine	4	Nc1ncn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
BRD-A11319535	beclomethasone-dipropionate	42	CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC12C
BRD-A11483079	dihydroobliquin	15	CC(C)C1COc2cc3oc(=O)ccc3cc2O1
BRD-A11512624	BRD-A11512624	11	CCOC(=O)CC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12
BRD-A11605036	thiocolchicoside	18	COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc3CCC(NC(=O)C)c4cc(=O)c(SC)ccc4-c3c1OC
BRD-A11609859	SB-205607	19	CN1CCC2(Cc3nc4ccccc4cc3CC2C1)c5cccc(O)c5
BRD-A11678676	wortmannin	23	COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)C)[C@]1(C)c23
